lec,overvier,keyword
International Lectures 1(Law),"本講義では、「持続可能な開発目標」いわゆるSDGsでいう「開発」とはなんなのかを考えます。具体的には、1)アジア諸国を実例としてとりあげ、2)それら国での法・社会制度等に注目しつつ、「持続可能な開発」とは果たして何なのかを検討します。以下、外部招聘講師による授業概要の説明です。

In this seminar, students will explore the thematic interface of development, governance, and sustainability. A sequence of lectures, readings, and discussions will trace key concepts, issues, and trends that underpin in Asia’s socioeconomic transformation and change. Students are encouraged to investigate different development concepts (from modernization theories to sustainable development goals), discuss the idea of state building and good governance, assess the challenge of public corruption and social inequality, and evaluate the benefits and risks of oil and mineral resources (resource curse debate).

The course combines theoretical and empirical perspectives to showcase the multifaceted workings of social development, democratic governance, and sustainable resource management - in Asia and beyond. At the same time, it encourages a critical awareness of the complexities that underpin efforts to reduce poverty, economic inequality, public corruption, resource exploitation, and excessive deforestation. By the end of the seminar, students will have gained a deeper understanding of the interplay of salient factors that pave the ground for equitable and sustainable development. ",International・Lectures・Law・AND・of・the・development・The
International Lectures 2(Law),"本講義では、「持続可能な開発目標」いわゆるSDGsでいう「開発」とはなんなのかを考えます。具体的には、1)アジア諸国を実例としてとりあげ、2)それら国での法・社会制度等に注目しつつ、「持続可能な開発」とは果たして何なのかを検討します。以下、外部招聘講師による授業概要の説明です。

In this seminar, students will explore the thematic interface of development, governance, and sustainability. A sequence of lectures, readings, and discussions will trace key concepts, issues, and trends that underpin in Asia’s socioeconomic transformation and change. Students are encouraged to investigate different development concepts (from modernization theories to sustainable development goals), discuss the idea of state building and good governance, assess the challenge of public corruption and social inequality, and evaluate the benefits and risks of oil and mineral resources (resource curse debate).

The course combines theoretical and empirical perspectives to showcase the multifaceted workings of social development, democratic governance, and sustainable resource management - in Asia and beyond. At the same time, it encourages a critical awareness of the complexities that underpin efforts to reduce poverty, economic inequality, public corruption, resource exploitation, and excessive deforestation. By the end of the seminar, students will have gained a deeper understanding of the interplay of salient factors that pave the ground for equitable and sustainable development. ",International・Lectures・Law・AND・of・the・development・The
International Lectures 3(Law),"本講義では、「持続可能な開発目標」いわゆるSDGsでいう「開発」とはなんなのかを考えます。具体的には、1)アジア諸国を実例としてとりあげ、2)それら国での法・社会制度等に注目しつつ、「持続可能な開発」とは果たして何なのかを検討します。以下、外部招聘講師による授業概要の説明です。

In this seminar, students will explore the thematic interface of development, governance, and sustainability. A sequence of lectures, readings, and discussions will trace key concepts, issues, and trends that underpin in Asia’s socioeconomic transformation and change. Students are encouraged to investigate different development concepts (from modernization theories to sustainable development goals), discuss the idea of state building and good governance, assess the challenge of public corruption and social inequality, and evaluate the benefits and risks of oil and mineral resources (resource curse debate).

The course combines theoretical and empirical perspectives to showcase the multifaceted workings of social development, democratic governance, and sustainable resource management - in Asia and beyond. At the same time, it encourages a critical awareness of the complexities that underpin efforts to reduce poverty, economic inequality, public corruption, resource exploitation, and excessive deforestation. By the end of the seminar, students will have gained a deeper understanding of the interplay of salient factors that pave the ground for equitable and sustainable development. ",International・Lectures・Law・AND・of・the・development・The
International Lectures 4(Law),"本講義では、「持続可能な開発目標」いわゆるSDGsでいう「開発」とはなんなのかを考えます。具体的には、1)アジア諸国を実例としてとりあげ、2)それら国での法・社会制度等に注目しつつ、「持続可能な開発」とは果たして何なのかを検討します。以下、外部招聘講師による授業概要の説明です。

In this seminar, students will explore the thematic interface of development, governance, and sustainability. A sequence of lectures, readings, and discussions will trace key concepts, issues, and trends that underpin in Asia’s socioeconomic transformation and change. Students are encouraged to investigate different development concepts (from modernization theories to sustainable development goals), discuss the idea of state building and good governance, assess the challenge of public corruption and social inequality, and evaluate the benefits and risks of oil and mineral resources (resource curse debate).

The course combines theoretical and empirical perspectives to showcase the multifaceted workings of social development, democratic governance, and sustainable resource management - in Asia and beyond. At the same time, it encourages a critical awareness of the complexities that underpin efforts to reduce poverty, economic inequality, public corruption, resource exploitation, and excessive deforestation. By the end of the seminar, students will have gained a deeper understanding of the interplay of salient factors that pave the ground for equitable and sustainable development. ",International・Lectures・Law・AND・of・the・development・The
憲法1(統治),"憲法は、主に人権分野と統治分野に分かれるが、この講義では、統治分野を中心に扱う（人権分野については憲法Ⅱにおいて扱われる予定である）。憲法全体にわたる基本原理や、統治分野における憲法上の規定とその趣旨、判例法理、憲法理論の基礎について講義を行う予定である。講義では、まず、近代憲法の歴史、日本国憲法の基本原理（立憲主義と民主主義など）について説明し、憲法全体の俯瞰を行う。そして、立法、行政、司法、地方自治といった統治に関する憲法上の規定の趣旨・目的、司法審査に関する基本的な概念、統治分野の重要判例の争点や判断、統治に関する憲法理論について講義を行う。
毎回の講義では、講義レジュメを配布し、それに沿って講義を行う。また、受講者に分かりやすく講義を行うために、双方向を重視する。検討問題という簡単な問題を配布し、受講者のそれまでの知識や直感を通じて、答えてもらう予定である。そして、それに対して判例や理論的立場からの応答を行い、受講者の理解を促す。また、毎回予習課題としていくつかの問題を配布して、次の講義で受講者に答えてもらうことも予定している。この講義では、受講者が憲法に関する理解や知識を使って考えることができるようにするため、具体的な事例問題を数多く用いる予定である。
また、講義では、適宜、法律学における法律答案の書き方について説明を行う予定である。 ",憲法・統治・講義・分野・予定
憲法2(人権),"憲法は、人権分野と統治分野に分かれるが、この講義では、人権分野を中心に扱う。人権の基本概念や個別の人権規定における基本的な概念（人権規定の趣旨や目的）や重要判例、理論について講義を行い、毎回、講義レジュメを配布し、それに沿って講義を行う。判例を基にした事例を豊富に扱いながら、人権分野について、人権総論、人権の歴史と思想、個別の人権規定へと講義を進める。
また、受講者に分かりやすく講義を行うために、双方向を重視する。講義では、まず、検討問題という簡単な問題を配布し、受講者の中から数名回答者を指名し、（受講者のそれまでの知識や直感を通じて）答えてもらう予定である。そして、それに対して判例や理論的立場から応答を行い、受講者の理解を促す。また、毎回予習課題としていくつかの問題を配布して、次の講義で受講生に答えてもらうことも予定している。この講義では、受講者が憲法に関する知識を使って考えることができるようにするため、具体的な事例問題を数多く用いる予定である。
講義では、適宜、法律学における法律答案の作成方法について説明を行う予定である。 ",憲法・人権・講義・受講・分野・問題
政治学史1,「政治学史１」では、マキアヴェリの政治思想の内容と、その政治学史上の意義を理解することの2つを目標にして授業が行なわれます。すなわち、①マキアヴェリが、国家は個人によってつくられる客体にほかならないと位置づけたこと、②マキアヴェリが、統治の目的は世俗的なことがらに限定されると説明したこと、この2点です。また、それは、アリストテレスが重視した政治参加が、中世キリスト教世界の中で失われ、マキアヴェリによって内容を変形されながら再発見されたことの意味を理解することでもあります。そうした古代の復活という意味でマキアヴェリはルネサンス人でした。このような授業の目標を達成するために、プラトン、アリストテレス、アウグスティヌス、トマス・アクィナス、マルシリウス・デ・パドヴァ、マキアヴェリの政治学とその時代背景を順に学んでゆきます。また、この授業では、新書レベルの日本語の読解力を身につけることと、各自の考えを伝えるための論理的文章の作成能力の向上も目標にします。 ,政治学・マキアヴェリ・目標・授業・内容
政治学史2,「政治学史２」では、ホッブズとロックの政治思想を学びます。そのことによって、近代自然法思想と立憲主義について理解することをめざします。また、ロックの考え方を国家形成の基礎にして成立したアメリカ合衆国の独立宣言と合衆国憲法についても学びます。さらに、ロックの思想やアメリカ独立宣言と密接な関係にある日本国憲法の権利章典にあたる憲法第三章とその関連条項を学びます。 ,政治学・ロック・思想・憲法・ホッブズ
日本政治外交史1,"本講義では、近代日本のたどった政治・外交の歴史を概観していく。
日本政治外交史1では、幕末から日露戦争まで扱う予定である。
歴史を学び、現在の日本の政治や社会にたいする視野を広げてほしい。 ",日本・政治・外交・歴史・講義
日本政治外交史2,"本講義では、近代日本のたどった政治・外交の歴史を概観していく。
日本政治外交史2では、日露戦争以後からサンフランシスコ講和条約まで扱う予定である。
歴史を学び、現在の日本の政治や社会にたいする視野を広げてほしい。 ",日本・政治・外交・歴史・講義
西洋政治史1,この授業では、フランク王国から百年戦争を経てフランス王権が安定するまでのフランス政治史を学びます。また、あわせて、イングランド、ネーデルラント、ドイツなどその周辺地域の歴史にも言及します。授業の内容は、フランスを中心に、「キリスト教共同体」が成立してくる経緯、そしてそれが崩壊しフランスという地域国家が芽生えてくる中世の政治史を学びます。この地域国家が絶対王政に変化し、フランス革命を準備します。その意味で、近代国民国家の出発点になります。授業ではゲルマン人の移動からフランスにおける地域国家の成立までの中世フランスの約1000年間の歴史を俯瞰します。授業は講義、教科書の自学自習、教科書の内容についての小テストで構成されます。 ,西洋・政治史・フランス・授業・地域国家・歴史
西洋政治史2,この授業では、主に宗教改革後のフランスとイングランド（一部ドイツを含む）の歴史を学びます。宗教改革と宗教戦争、三十年戦争、イギリス革命、啓蒙思想とフランス革命の４つの主要トピックを取り上げ、歴史の流れをを俯瞰しながら、近代国民国家と立憲主義が成立するまでの経緯を辿ります。宗教改革を契機にして、フランスでは国家権力によるプロテスタント虐殺事件が各地で起こります。国家が指定した宗教や思想と異なる宗教や思想をもつ個人が虐殺の対象でした。こうした政策に広範な反対運動がおこります。イングランドでも国教会の信仰を強制する国家権力と信教の自由を要求するピューリタンとの間で内乱が起こります。こうした歴史を経て18世紀になると、キリスト教そのものを批判する啓蒙主義も社会に浸透してゆきます。この中から徐々に信教の自由を核とする人権意識と寛容の精神が出現してゆきます。そのことが立憲主義の成立をうながします。この授業では宗教改革からフランス革命までのこうした歴史を学びます。 ,西洋・政治史・宗教改革・歴史・授業・フランス・イングランド
日本政治論,政治理論のレンズを通して日本の政治事情を検討します。 ,日本・政治・理論・レンズ・日本の政治・事情
行政学,本講義では、我々の生活に直結する行政に焦点をあて、現実の行政活動を理解する上での基礎となる考え方を学ぶ。政治と行政はどのような関係にあるのか。行政は社会といかに関わっているのか。こうした問題は、行政学における主要な関心対象である。基礎概念から具体的事例への関係性を意識することで、ともすると遠いようで実は近い存在である「行政」への接近を試みる。 ,行政学・行政・基礎・講義・生活・直結
公共政策論1,本講義は、政府の社会への働きかけである『公共政策』を対象として、政策が作られる政策過程を理解する理論的基礎とその具体的なイメージを伝えるものである。好むと好まざるとに関わらず、我々の社会生活において、政府の政策が影響しないことはない。こうした政策を考える一助となる基礎的な考え方を講義する。 ,公共政策・政策・講義・政府・基礎・社会
計量政治学,"この授業では、政治を実証的に分析する方法とその応用例について講義します。皆さんが自身にとって興味のある現象に取り組むためには、その現象がどのような状態にあり、なぜそうなったのかを客観的に把握しなければなりません。例えば、なぜ戦争や内戦が起こるのか、なぜある国は民主化するのか、なぜある人は投票に行くのか、なぜある人は就活に成功するのか、なぜある野球チームは強いのか、なぜ今日は体の調子が悪いのか、こういった問いに対して、体系的に証拠を集めて答えることが必要になるのです。そういった実証分析を各人が自分でできるようになるのが、本講義の目標です。新しい現実や証拠を自らの力で発見していくおもしろさをお伝えできれば、と思っています。

ZOOMを使用して、講義形式の授業と統計ソフト(SPSS)を用いた実習形式の授業とを交互に行います。実習の積み重ねが必要になりますので、毎回課題を出します。大半は授業内でできるような小さな課題です。最終レポートでは各人に自らの仮説をデータを用いて検証してもらいます。
数字は出てきますが、解析はパソコンがやってくれるので、計算や数学は必要ありません。ご安心ください。パソコンの使い方についても、基礎の基礎から解説します。やる気のある学生は是非受講してください。 ",計量政治学・授業・講義・必要・実証・分析
国際政治学1,この授業では、世界の見方についての基礎的な枠組を具体的な問題に関連付けながら考察します。世界は国家同士が軍事対立しているのか、あるいは企業による国境を越えた経済活動によって世界がひとつになったのか、さらには民間の国際援助団体(NGO)が国境を越えて自由に活動しているのか。実際の世界はこれらすべての側面がありますが、人によっていずれを重視するかは異なります。その相異はどのような考え方の違いから生じるのかを授業を通じて考えて行きましょう。学生が理解しやすいように、テキストとレジュメに従いつつ、時事的な国際問題を絡ませながら授業を進めたいと考えています。 ,国際政治学・世界・授業・国境・見方・基礎
国際政治学2,国際政治学２では、世界を「不平等」という観点から考察します。いわゆる途上国では、東南アジアのように中所得国といわれるように発展した国もある一方で、アフリカや中東におけるように国家自体が解体してしまう国もあります。これらの歴史的な背景に注目しつつ、宗主国と植民地、先進国と途上国の関係を考察します。他方で90年代以降、経済的グローバリゼーションの結果、途上国は益々貧富の格差が広がり、日本を含む先進国でも貧富の格差が拡大しています。日本でも日々の生活に苦労する人々の数が確実に増えています。授業の前半は南北問題に、後半はグローバリゼーションに焦点を合わせて、世界規模での不平等問題に触れていきます。 ,国際政治学・途上国・不平等・考察・先進国・グローバリゼーション
比較政治学,この授業では、これまで世界で起きたことや現在起きていることを様々な角度で分析する。分析に正解があるわけではないが、この授業では分析のツールを提供し、より深く、多層的な分析ができるような訓練を行いたい。様々な分析手段を身に着けることにより、より客観的でバランスの取れた思考を身に着けることを目指す。 ,比較政治学・分析・授業・身・世界・現在
平和学,"平和は、武力衝突のない状態として理解するだけではなく、貧困、抑圧、差別などの構造的暴力（ガルトゥング）が除去された状態として理解される必要がある。したがって、平和学とは、広く社会全体の問題に関わる内容を包括するものであり、かつ、具体的課題の設定とその検討を内容としている。
本講義では、伝統的な平和の課題から、現代における問題把握についても触れる。歴史の概観を理解し、現代的な各種の問題に触れつつ、問題解決思考にこだわる。 ",平和学・理解・問題・平和・状態・内容
外交政策論,外交とは、対外関係の立法的側面、すなわち対外政策の決定過程と、執行的側面、すなわち外交交渉の二つの側面を含んでいる。対外政策に関しては、議会、世論などを通して国民が参与する必要性が主張されるが、外交交渉そのものは非公開であり、専門家が担うものである。このような基本的な理解を基礎にして、外交そのものの本質を探求する。 ,外交政策・側面・外交・対外政策・外交交渉・そのもの
アメリカ政治論,米国では昨年、新政権が発足した。前トランプ政権からの大転換を打ち出しているが、大統領の交代によって米国政治はどの程度変化したのだろうか。米国の政治制度や、現在米国が直面する政治課題を理解するためにも、歴史的背景や制度のあり方について理解することを目指す。また、現在米国が抱えている社会問題についても学習する。 ,アメリカ・政治・米国・制度・現在・理解
ヨーロッパ政治論,"本講義ではヨーロッパの現状を理解するためにECの誕生から現在までのヨーロッパ統合の歩みを概観するとともに、現在のEUが抱えている外交、経済社会問題、政治文化問題、Brexit問題の行方等を広く学ぶことを目標とする。
その際、リージョナリズムの一例としてのヨーロッパ統合が直面している安全保障や地球環境といった諸問題、BREXIT問題のその後、Covid-19禍のヨーロッパの現状と課題等、世界共通の課題についても受講生の皆さんと議論する予定。 ",ヨーロッパ・政治・問題・現状・現在・ヨーロッパ統合
政治学特殊研究1,"大学生としては時事知識の事実上最高レベルといえるニュース検定２級の合格を最大目標とする。
（１級は難問奇問が多く、しかも年２回しか試験が実施されないため大学生の合格者が極端に少なく無視に値する）　検定の教科書と問題集を短期集中的にみっちり学習し、１学期終了直後の６月下旬に実施される検定試験での一発合格を目指す。初回を除く毎回、達成度をチェックする確認テストを行う。不幸にして６月不合格でも、夏休み明け９月初旬の検定で合格挽回できる力を養う。 ",政治学・特殊・研究・合格・検定・大学生・試験・実施
政治学特殊研究2,"１、発展途上国の人々と私たちの間にある差異とつながりを知り、国際協力の必要性を学ぶ。
２、日本国内外の各機関が実施している国際協力の理念や手法、分野の違いを学ぶ。
３、問題の発見、分析、プロジェクトの企画、ロール･プレイゲームなど、国際協力、国際理解教育・開発教育の分野で採用されている手法を実践してみる。
４、「開発／発展」のあり方は一通りではないことを理解し、望ましい「開発／発展」について検討する。
５、タイで実施されてきた具体的なプロジェクトを通じて、望ましい「開発／発展」について考える。 ",政治学・特殊・研究・国際協力・開発・発展・実施・手法
International Lectures 1(Politics),"・最少催行人数は10名。9名以下の場合は開講されません。
・状況を鑑みて中止または延期となる場合があります。

地方創生：オーストラリアのサンシャインコースト地方活動からの考察と教訓：SDGsをめぐって
The future of regional vitality: Considerations from the Sunshine Coast, Australia
Japanese governments at local and national level are thinking about the future of regional areas, especially in the era of an ageing society and shrinking population. Ann Robertson researches in the areas of health, education and the arts in the Sunshine Coast region and how the region is preparing for the future in these areas and the UN SDGs play an important part in that. The lectures will focus on sharing these ideas between Japan and Australia and how people from both countries might consider SDGs in such cases. ",International・Lectures・Politics・the・in・AND・The・of
International Lectures 2(Politics),"・最少催行人数は10名。9名以下の場合は開講されません。
・状況を鑑みて中止または延期となる場合があります。

地方創生：オーストラリアのサンシャインコースト地方活動からの考察と教訓：SDGsをめぐって
The future of regional vitality: Considerations from the Sunshine Coast, Australia
Japanese governments at local and national level are thinking about the future of regional areas, especially in the era of an ageing society and shrinking population. Ann Robertson researches in the areas of health, education and the arts in the Sunshine Coast region and how the region is preparing for the future in these areas and the UN SDGs play an important part in that. The lectures will focus on sharing these ideas between Japan and Australia and how people from both countries might consider SDGs in such cases. ",International・Lectures・Politics・the・in・AND・The・of
International Lectures 3(Politics),"・最少催行人数は10名。9名以下の場合は開講されません。
・状況を鑑みて中止または延期となる場合があります。

地方創生：オーストラリアのサンシャインコースト地方活動からの考察と教訓：SDGsをめぐって
The future of regional vitality: Considerations from the Sunshine Coast, Australia
Japanese governments at local and national level are thinking about the future of regional areas, especially in the era of an ageing society and shrinking population. Ann Robertson researches in the areas of health, education and the arts in the Sunshine Coast region and how the region is preparing for the future in these areas and the UN SDGs play an important part in that. The lectures will focus on sharing these ideas between Japan and Australia and how people from both countries might consider SDGs in such cases. ",International・Lectures・Politics・the・in・AND・The・of
International Lectures 4(Politics),"・最少催行人数は10名。9名以下の場合は開講されません。
・状況を鑑みて中止または延期となる場合があります。

地方創生：オーストラリアのサンシャインコースト地方活動からの考察と教訓：SDGsをめぐって
The future of regional vitality: Considerations from the Sunshine Coast, Australia
Japanese governments at local and national level are thinking about the future of regional areas, especially in the era of an ageing society and shrinking population. Ann Robertson researches in the areas of health, education and the arts in the Sunshine Coast region and how the region is preparing for the future in these areas and the UN SDGs play an important part in that. The lectures will focus on sharing these ideas between Japan and Australia and how people from both countries might consider SDGs in such cases. ",International・Lectures・Politics・the・in・AND・The・of
日本政治思想史1,"政治現象の根底には、つねに利害と価値をめぐる紛争という側面があります。その点を意識しながら、思想・歴史を学ぶことを通じて政治を見ることができるようになり、自分で考え、判断を下せるようになれればと思います。具体的には、一定のテーマを設定し、普遍的原理と現実政治の乖離の問題や政治思想の果たすべき役割の問題などを考えていきます。
2時限連続の授業の1時限目は、理論的考察の講義を中心とし、2時限目は、福沢諭吉の『学問のすゝめ』を講読します。その際、受講生に音読してもらい、教師が文章の解説を加えていきます。 ",日本・政治思想・政治・思想・問題・2時・現象
日本政治思想史2,"政治現象の根底には、つねに利害と価値をめぐる紛争という側面があります。その点を意識しながら、思想・歴史を学ぶことを通じて政治を見ることができるようになり、自分で考え、判断を下せるようになれればと思います。具体的には、一定のテーマを設定し、普遍的原理と現実政治の乖離の問題や政治思想の果たすべき役割の問題などを考えていきます。
2時限連続の授業の1時限目は、理論的考察の講義を中心とし、2時限目は、福沢諭吉の『学問のすゝめ』を講読します。その際、受講生に音読してもらい、教師が文章の解説を加えていきます。 ",日本・政治思想・政治・思想・問題・2時・現象
現代政治理論1,テキストをベースにしながら、政治理論を自分の身近な問題、あるいは報道を通して見聞きする出来事と関連付けて討論し、理解を深める。 ,現代・政治・理論・テキスト・ベース・身近
現代政治理論2,"・授業は基本的に英語で行われる。間違いを恐れず積極的に英語で政治学のトピックについての読み書き・および話し合いを行うこと。
・語学科目ではないので、英語を文法構成上正しく読み・話すことではなく、どれだけ政治学に関連するテーマについて、英語で読み・考え・話したか、という積極的チャレンジの有無を評価の対象とする。
「政治学英語文献講読」に続き、現代理論をより深く勉強する。 ",現代・政治・理論・英語・政治学・積極的・授業・基本的
公共選択論,"この授業では、政治を合理選択アプローチで理論的に分析する方法とその応用例について、他のアプローチも視野に入れながら、講義します。社会科学では、政治・経済・社会現象に関する実証的な知見を体系的に把握することを目指して、さまざまな「ものの見方」が開発されてきました。そのなかで最も有力な「ものの見方」のひとつが、経済学で開発され社会科学全般に広まった合理選択アプローチです。このアプローチの特色は、「それぞれのアクターは損得にもとづいて行動している」とひとまず仮定して、政治・経済・社会現象を分析していくところにあります。そういった分析を各人が自分なりにできるようになるのが、本講義の目標です。先進国の政治経済だけでなく、民主化や内戦、戦争など幅広い領域を取り上げながら、現実を単純化して鋭い予測を導き出すこのアプローチの魅力をお伝えできれば、と思っています。

音声付きスライド動画を配信する形式で授業を行います。分析を自分でできるようになるためには、どうしても問題を解いてみる必要がありますので、毎回課題を出します。数字は出てきますが、計算は四則演算程度です。ご安心ください。数字が苦手な学生も、授業時間内に課題を解く時間を設けますので、そこで質問してもらえれば、と思います。やる気のある学生は是非受講してください。 ",公共選択論・アプローチ・分析・授業・政治・経済・合理
コミュニケーションの政治理論,"現代社会の中で「コミュニケーション」が担う政治的機能について講義を行う。とくに、メディア研究やマス・コミュニケーション研究、ニュース研究といった領域の中で、政治理論の諸概念がどのように用いられてきたのかについて、事例も交えつつ論じる。とくに、前半ではマス・コミュニケーション論の基礎概念を紹介し、後半では教科書を平易に解説しつつ、ニュースの政治社会学的視座について説明する。
なお、この授業はオンラインで実施し、Zoomでの同時双方型を予定している。ZoomのURLは初回時までにMUSCATの講義連絡にて通知する。また、適宜オンライン教材を用いることもある。 ",コミュニケーション・政治・理論・講義・マス・研究・ニュース
公共管理論,"日本の行政の理論と実態については概説することを主目的とした授業です。
本講義では、行政管理の諸モデルについて理解しながら、日本行政の組織・運営の特質や
その問題・課題について多面的に検討していきます。 ",公共・管理・行政・日本・理論・実態・概説
政治心理学,本講義では以下の二点を目的とする。第一に、政治心理学における基礎的な考え方を習得することである。第二に、近年の実証的な社会科学において顕著に増加している「実験」という手法を理解し、簡単な実験デザインを自分で考えることができるようになることである。 ,政治心理学・実験・講義・目的・第一
政治社会学,"政治社会学の基礎概念について学びます。授業の前半で講義を行い、後半では文献報告とディスカッションを行います。
なお毎回必ず新聞記事を持参してもらい、政治学や社会学と関連の深い新聞記事の紹介もしてもらいます。 ",政治社会学・新聞記事・基礎・概念・授業
立法過程論,"周知の通り、わが国の国会は「国権の最高機関」として位置付けられています。しかし、その実態については、ほとんどの国民に理解されているとは言い難い状況です。
本授業では、国会について指摘されているさまざまな特質を理解しながら、その問題と課題を多面的に検討していきます。 ",立法・過程・国会・理解・周知・通り・わが国
政策過程論,政策決定過程において、各アクターの相互関係・制度による影響を、既存の政治学研究で蓄積されてきた、理論や実証研究から理解する。日本における現実の事例も適宜扱いながら解説を行う。期末レポートでは、授業時段階で争点となっている政策課題を考察してもらうので、日常生活においても関心を持ってニュース・新聞等に触れていることが望ましい。 ,政策・過程・政策決定・アクター・相互関係・制度
選挙分析,本授業では、選挙時に行われた世論調査データを計量的に分析し、仮説検証型のレポートを作成することを目的とする。レポートでは社会科学、特に調査データの分析で頻出する、従属変数がカテゴリカルである場合の分析を行う。前提科目（推奨）として「計量政治学」を受講済みであることが望ましい（初めの数回の授業では計量政治学の復習的な内容となるが、受講していない場合は予習時間が大幅に増えることが予想される）。統計ソフトはR、SPSSを用いるため、実習の授業においては、ノートパソコンの持参を推奨する。ソフトの使用方法については授業で解説を行う。予習よりも課題をこなしていく過程における復習を重点的に行うことが望まれる。 ,選挙・分析・授業・データ・レポート・推奨
国際関係論,現代の国際関係をイッシューごとの解説と関連資料によって理解し、将来を展望できるような体系的基礎知識を身に着けることを目標とする。東西冷静、冷戦の終焉、冷戦後の世界、グローバリゼーションと進展と停滞、9.11テロ後の複雑化する国際政治経済の構造を立体的に把握する。 ,国際関係論・現代・国際関係・イッシュー・解説・関連
アジア政治論,この授業は、東南アジア諸国の政治経済と歴史を日本との関係に留意しながら考察します。東南アジアは11ｶ国によって構成される多様な歴史と文化、政治経済をもつ広い地域ですので、短い授業で触れられることは限られます。地域としては、タイ・ビルマ（ミャンマー）・ベトナム・カンボジア・ラオスといった大陸部東南アジアの戦後の動きを中心に扱います。東南アジアは日本軍が戦時中に占領したたいへん関係の深い地域でありますが、戦後もとくに政治経済的に深い関係にあります。現在は開発による経済的格差の拡大や民主化弾圧など様々な問題を抱えています。授業では随時、ビデオなどを観て具体的イメージをつくりながら進めていきたいと思います。 ,アジア・政治・東南アジア・授業・政治・経済・地域・歴史
中国政治論,アヘン戦争以来、中国は西欧列強の侵略にさらされ、半植民地化された。第二次世界大戦後戦後、国境内戦に勝利した中国共産党は、国家建設と国家統一を目標にしてきたが、「大躍進」政策の失敗、「文化大革命」の混乱を経て国家経済は疲弊した。しかし、1980年以降の「改革開放」政策により、中国の経済は急速に発展し、世界第2位の経済大国に発展した。急速に台頭した中国は、「偉大なる中華民族の復興」を掲げ、既存の国際秩序に挑戦するまでに至った。21世紀に、中国が目指すものは何かを考える。 ,中国・政治・国家・政策・経済・急速
中東政治論,"民族と国家、宗教と宗派のあり方、イスラムの人々の生活価値観、ナショナリズムと愛国心などを取り上げながら、現代中東の政治と国際関係を考える。
特にアメリカ、日本、ロシアなど、外の国家と中東との関わりも扱う。 ",中東・政治・国家・民族・宗教・宗派
アフリカ政治論,アフリカは最も多くの問題を抱えた大陸であると同時に最も可能性に満ちた大陸であもある。この講義では、アフリカのアフリカの歴史から始め、現在のアフリカの低開発や紛争などの諸問題に論を進める。また、日本とアフリカの関係に関しても、戦前の歴史から今日の関係を学ぶ。教員の実務経験を活かし、日本の対アフリカ外交に関しても触れる。 ,アフリカ・政治・大陸・歴史・日本・問題
法学1(法学の基礎),"この講義では、まず、法学の学習方法を説明し、講義全体で行うことを俯瞰した上で、法制度や司法制度の基礎、法解釈の方法を学ぶ。
そして、民法、憲法、刑法といった、主要な実定法の基本構造や原理に関する講義を、具体的な裁判例、事例問題を交えながら進める。
具体的な問題について、法的思考を使って考える訓練を行う機会をできるだけ設ける予定である。
受講者に分かりやすく講義を行うために、検討問題という簡単な問題を配布し、まず、受講者のそれまでの知識や直感を通じて答えてもらう予定である。
そして、それに対して判例や学説、理論的立場からの応答を行い、受講者の理解を促すようにする。
毎回の講義では、講義レジュメを配布し、それに沿って講義を行う。また、毎回の予習課題としていくつかの問題を配布して、次の講義で受講者に答えてもらうことも予定している。 ",法学・基礎・講義・問題・受講・予定・配布
経済学S1(経済学入門),教科書を使い講義を行う。ここでは経済学を学ぶ上で必要な不可欠な数学とその経済学への応用例について学びます。内容的には数学60％、経済学40%です。 ,経済学・S1・入門・数学・教科書・講義・必要
経済学S2(ミクロ経済学),教科書を使い講義を行う。家計、企業の行動、完全競争市場について学ぶ。 ,経済学・S2・ミクロ経済学・教科書・講義・家計・企業・行動
経済学S3(ミクロ経済学),教科書を使い講義を行う。不完全競争、市場の失敗、国際貿易について学ぶ。 ,経済学・S3・ミクロ経済学・教科書・講義・不完全競争・市場の失敗・国際貿易
経済学S4(マクロ経済学),教科書を使い講義を行う。マクロ経済学の短期分析について学ぶ ,経済学・S・マクロ経済学・教科書・講義・短期・分析
経済学S5(マクロ経済学),教科書を使い講義を行う。マクロ経済学の長期分析について学ぶ ,経済学・S・マクロ経済学・教科書・講義・長期・分析
民法S1(総則),"本講義では、民法総則の重要制度（人の法律上の能力、意思表示、代理）について学習します。
講義に際しては、各制度の規定内容・趣旨を重点的に解説し、関連する重要判例と学説については、必要に応じて言及します。

※本講義は、Zoomのライブ配信による実施を予定しております。
※授業計画は、変更となる場合があります。 ",民法・S1・総則・講義・重要・制度・民法総則・法律上
民法S2(物権法・担保物権法),民法は、社会生活上の多くの場面で関わってくる法律である。この講義は、その中でも、「物」に対する権利関係である「物権と担保物権」を学ぶものである。講義は、Zoomを使用したオンライン形態で行い、毎回配布するレジュメに沿って進める。そのレジュメの中では、具体的な事例を提示し、その事例解決のために必要な論点の解説を行う。条文・制度の趣旨に着目しながら、学説・判例を紹介し、物権法・担保物権法の基礎的知識から応用的知識を身に付けていく。 ,民法・S2・物権法・担保物権・講義・レジュメ・事例・知識
